"companyName","discountPrice","image"
"The Pilates Connection - Mar Vista","$36",""
"The Pilates Connection - Mar Vista","$36",""
"Holistic Physical Therapy and Wellness","$24","img.grouponcdn.com/iam/i8fmY39tj6nFw4cvpudDiZMRbd3/i8-2048x1229/v1/c414x250q85.jpg"
"Smile Labs","$28","img.grouponcdn.com/deal/kvd14Lp3K65ptVbCZDN77n/94407722-2048x1229/v1/c414x250q85.jpg"
"California Medical Weight Loss","$8","img.grouponcdn.com/iam/3Syenn9CqeUdR2yY69GD/eP-4904x2943/v1/c414x250q85.jpg"
"Optical Connection","$33","img.grouponcdn.com/deal/3JgUYDvKNk5wPZgDWu9gpf1tAC8h/3J-1000x600/v1/c414x250q85.jpg"
"Rockreation","$26","img.grouponcdn.com/deal/2GNrndsvbZSrW9bew4e4WDWqSoux/2G-1000x600/v1/c414x250q85.jpg"
"Electric Soul Yoga","$16","img.grouponcdn.com/deal/4ENELptU8TKF8CwWSD2TgwJXgktx/4E-960x576/v1/c414x250q85.jpg"
"Red Diamond Yoga","$27","img.grouponcdn.com/deal/4U5H8Cugg81mC1REJniF/ss-700x420/v1/c414x250q85.jpg"
"Takahashi Chiropractic","$26","img.grouponcdn.com/deal/epx76mo3ksSWkeQMxecMU6/ihs_0-122_0103badged-1500x900/v1/c414x250q85.jpg"
"Dr. Maryam Hadian at Le Chic Dentist","$39","img.grouponcdn.com/deal/nF56z5SBeKXV3JecPdwg/BF-2048x1229/v1/c414x250q85.jpg"
"Weekend Weight Loss Center-Multi-Location","$17","img.grouponcdn.com/deal/7m4X4jggprGm39KX9tU8/rE-440x267/v1/c414x250q85.jpg"
"Westwood Eye Center Optometric Corp.","$48","img.grouponcdn.com/deal/vur6FdWSsK4MaCuFw49T/oa-2048x1229/v1/c414x250q85.jpg"
"The Stronghold Climbing Gym","$15","img.grouponcdn.com/deal/3eijD4A7NfvAoZcHPtv2Zx7QXvRj/3e-948x568/v1/c414x250q85.jpg"
"Romance and Dance Pole Fitness","$39","img.grouponcdn.com/deal/nt1m4WVUQ9UB477w1mLX9o/romance_and_dance_pole_aerobics-700x420/v1/c414x250q85.jpg"
"Bikram Yoga LA","$23","img.grouponcdn.com/iam/5KS1Em2GcewhEpatKokJ/LG-5000x3000/v1/c414x250q85.jpg"
"The Bar Method","$73","img.grouponcdn.com/deal/2mJBBraCJGpaHzuRUr3oHmLPB1Pi/2m-1311x787/v1/c414x250q85.jpg"
"Holistic Healing Co-Op","$87","img.grouponcdn.com/deal/9nCxLexzgNa3gpXNRGY7/kw-2048x1229/v1/c414x250q85.jpg"
"Lawrence Miller, Licensed Acupuncturist","$39","img.grouponcdn.com/iam/hNLPgotnTpAo8CaAYHE1/dy-2048x1242/v1/c414x250q85.jpg"
"Brumfield Sports & Family Wellness","$23","img.grouponcdn.com/deal/728KzQuN9N2pcCaEpfb2/qf-2048x1229/v1/c414x250q85.jpg"
"Medslim Weight Loss","$38","img.grouponcdn.com/deal/3uoe6d2hPSMPYXrRgVM324vqgWDK/3u-3828x2532/v1/c414x250q85.jpg"
"MedSlim Weight Loss","$46","img.grouponcdn.com/iam/2151UPTjreMo8v5beZgmFYePTihw/21-2048x1229/v1/c414x250q85.jpg"
"Tower Foot & Ankle Surgery Inc.","$55","img.grouponcdn.com/deal/tGJgAF113a4m6k8BZJJd/zS-2048x1242/v1/c414x250q85.jpg"
"Sender One Climbing","$20","img.grouponcdn.com/deal/2J24AwoEStGQq7AhGuBZKVQP3yuz/2J-920x551/v1/c414x250q85.jpg"
"Lux Eyewear","$26","img.grouponcdn.com/deal/pC6nJzqvteUGAZVn8kUR/tM-700x420/v1/c414x250q85.jpg"
"Hot 8 Yoga","$27","img.grouponcdn.com/deal/3CsVxah6wJzZuLMZDAyerMoXLK7i/3C-960x576/v1/c414x250q85.jpg"
"Inner Power Yoga","$27","img.grouponcdn.com/iam/kef7ijSUJAjmJ21tVgpV/He-5000x3000/v1/c414x250q85.jpg"
"Rising Lotus Yoga","$34","img.grouponcdn.com/deal/25hGpiH1wZXwVG1Vxk9P/tj-700x420/v1/c414x250q85.jpg"
"Brentwood Dentistry","$23","img.grouponcdn.com/deal/hGsedRMokyMNMoUbvUvg/98-2048x1229/v1/c414x250q85.jpg"
"Ben's Bootcamp Fitness","$24","img.grouponcdn.com/deal/m7o4WbBugyKjRoVSGqy9/DN-2048x1242/v1/c414x250q85.jpg"
"Fusion Of Beauty","$24","img.grouponcdn.com/deal/mvWbuWRVT16hxZ14L6zM/kw-2048x1229/v1/c414x250q85.jpg"
"EXCEPTIONAL WELLNESS CENTER","$50","img.grouponcdn.com/deal/rMZ7JcuQk7bFFfoXpSPw/Uf-2048x1229/v1/c414x250q85.jpg"
"Dream Elite Gymnastics Academy","$55","img.grouponcdn.com/deal/23sR4bQaZqst2TjK3uEEWSMPYRJm/23-4096x2458/v1/c414x250q85.jpg"
"Eyesite, Optometric Group","$26","img.grouponcdn.com/iam/9dnf9FiNfwPyWBWhCDmBmibN6Zb/9d-2048x1229/v1/c414x250q85.jpg"
"Aura Cycle","$36","img.grouponcdn.com/deal/WovoEdz1cFnL89TqUSqwq4cNehR/Wo-1200x720/v1/c414x250q85.jpg"
"The Yogi Tree Center for Growth","$26","img.grouponcdn.com/deal/koRLYdRF8mwfiZniG8uz/HJ-2048x1229/v1/c414x250q85.jpg"
"Dr. K Chiropractic Center","$27","img.grouponcdn.com/iam/43FJgySCyEvaWUYKhXyDZcNyR13q/43-2048x1229/v1/c414x250q85.jpg"
"Atlas Chiropractic Center","$35","img.grouponcdn.com/deal/hys3FRcBs4PhJBnVe9JF/UX-1000x600/v1/c414x250q85.jpg"
"A4 Fitness","$52","img.grouponcdn.com/deal/7HRz2xgcSGLgHejCM3bM/cX-700x420/v1/c414x250q85.jpg"
"Acuhealth","$31","img.grouponcdn.com/iam/pGfF2nDs5TTNvUNJ9xyG/kV-2048x1242/v1/c414x250q85.jpg"
"Dr. Jay Grossman and Associates","$92","img.grouponcdn.com/deal/qd6PJw2bJfc1Kp1orSgV/Mv-2048x1229/v1/c414x250q85.jpg"
"Beverly Hills Tanning","$23","img.grouponcdn.com/deal/uFHsoRXVZGikDWwfZP1v/Vh-2048x1229/v1/c414x250q85.jpg"
"Creative Counseling Solutions with Michael Anthony-Nalepa","$52","img.grouponcdn.com/iam/3rHzNoVQbEZHuK13xv7hHhDuSVWm/3r-2048x1229/v1/c414x250q85.jpg"
"Dr. Dickson Chen, OD, FAAO","$49","img.grouponcdn.com/deal/wMyTrdQDtVSNp9GWUtGE/Mr-2048x1229/v1/c414x250q85.jpg"
"El Cariso Golf Course","$65","img.grouponcdn.com/deal/eYnXcf3QxFcc2t9Wn91t/U6-2048x1229/v1/c414x250q85.jpg"
"Barreworks Studio","$43","img.grouponcdn.com/deal/3xCRmNg68pVvtT934SNjBakgM3Uo/3x-5184x3104/v1/c414x250q85.jpg"
"Gold's Gym","$14","img.grouponcdn.com/deal/asfTaXrdY7nndudb5rRD/A3-5068x3041/v1/c414x250q85.jpg"
"Liberation Yoga","$37","img.grouponcdn.com/deal/iQcnzWWE8w4TiboqNvp3/2d-2048x1229/v1/c414x250q85.jpg"
"Holistic Health Solutions","$34","img.grouponcdn.com/deal/9XJDkfNDwQ2mEhjctncZ9D/holistic_health_solutions-2048x1229/v1/c414x250q85.jpg"
"Yoga Remedys Essential Wellness","$27","img.grouponcdn.com/deal/ZaQVZ8shdrETQf5CkqgA7EkAECp/Za-640x383/v1/c414x250q85.jpg"
"Beverly Hills Prestige Dental Group","$45","img.grouponcdn.com/deal/mhxYVxtjqxXPaXr5HYuy/nd-2048x1242/v1/c414x250q85.jpg"
"L.A. Beauty MediSpa & Float Haven","$47","img.grouponcdn.com/deal/3AmwcS5HbUUVnfD9ozFhTBpgSH3t/3A-2048x1229/v1/c414x250q85.jpg"
"Optical Connection","$27","img.grouponcdn.com/deal/2RrBn7hXbiR8fpuo1mdb8LfQesTX/2R-2048x1229/v1/c414x250q85.jpg"
"Calfam Counseling","$20","img.grouponcdn.com/deal/35iCH3JUopgAQmkrioupFmoAm21D/35-2122x1415/v1/c414x250q85.jpg"
"Tumble Tykes Gymnastics","$41","img.grouponcdn.com/deal/6GhHaVj54ffersDHzSmk/jW-2048x1229/v1/c414x250q85.jpg"
"Daurden Performance Art Collective","$1","img.grouponcdn.com/deal/fDmH15WY3MmnpHZBUMpT/L1-4568x2741/v1/c414x250q85.jpg"
"Leever Wellness","$28","img.grouponcdn.com/deal/AUV7aWtvpbEjpNxTHcVgnSb1pBy/AU-2000x1200/v1/c414x250q85.jpg"
"Set and Flow Yoga","$56","img.grouponcdn.com/deal/2JBnEEgY35jjZp9oRvia/12-700x420/v1/c414x250q85.jpg"
